id,union_id,name
106,GHUC,Meridian Ghana Conference
106,GHUC,Mid-South Ghana Conference
106,GHUC,Pioneer Ghana Conference
106,GHUC,Accra City Conference
106,GHUC,South West Ghana Conference
106,GHUC,Oti Ghana Mission
106,GHUC,Volta Ghana Mission
106,GHUC,West-Central Ghana Conference
106,GHUC,Western North Ghana Conference
107,DNPC,Dnieper Conference
108,HUNC,Duna Conference
108,HUNC,Hungarian Union Conference
108,HUNC,Tisza Conference
109,DUOC,Danish Union of Churches Conference
110,ECDU,Ecuador Union Mission
110,ECDU,North Ecuador Mission
110,ECDU,South Ecuador Mission
111,KRUC,East Central Korean Conference
111,KRUC,Jeju Mission
111,KRUC,Korean Union Conference
111,KRUC,Middlewest Korean Conference
111,KRUC,North Korean Mission
111,KRUC,Southeast Korean Conference
111,KRUC,Southwest Korean Conference
111,KRUC,West Central Korean Conference
112,ECUM,East Congo Union Mission
112,ECUM,East Katanga Mission
112,ECUM,East Kasai Field
112,ECUM,North Katanga Field
112,ECUM,South Katanga Field
112,ECUM,West Katanga Field
113,EDNC,Eastern Dnieper Conference
114,EGYF,Egypt-Sudan Field
115,JPUC,East Japan Conference
115,JPUC,Japan Union Conference
115,JPUC,Okinawa Mission
115,JPUC,West Japan Conference
116,EMDF,East Mediterranean Region
117,NRUC,East Norway Conference
117,NRUC,North Norway Conference
117,NRUC,Norwegian Union Conference
117,NRUC,West Norway Conference
118,POUC,East Polish Conference
118,POUC,Polish Union Conference
118,POUC,South Polish Conference
118,POUC,West Polish Conference
119,PRUC,East Puerto Rico Conference
119,PRUC,North Puerto Rico Conference
119,PRUC,Puerto Rican Union Conference
119,PRUC,South Puerto Rico Conference
119,PRUC,West Puerto Rico Conference
120,ECDAF,Eritrea Mission Field
121,ESDB,Euro-Asia Division (Branch)
122,ESUC,Southern Union Mission
122,ESUC,Kyrgyzstan Mission
122,ESUC,Kazakhstan Mission
122,ESUC,Tajikistan Field
122,ESUC,Turkmenistan Field
122,ESUC,Uzbekistan Field
123,SSDAF,Timor-Leste Mission
124,SZAM,East Zambia Field
124,SZAM,Lusaka Conference
124,SZAM,Mosi O Tunya Conference
124,SZAM,Rusangu Conference
124,SZAM,Southern Zambia Union Conference
124,SZAM,Woodlands Conference
124,SZAM,West Zambia Conference
125,ZAUM,East Zimbabwe Conference
126,FAGUM,French Antilles-Guiana Union Conference
126,FAGUM,French Guiana Mission
126,FAGUM,Guadeloupe Conference
126,FAGUM,Martinique Conference
127,FEC,Far Eastern Union of Churches Mission
128,SWSC,French-Italian Swiss Conference
128,SWSC,German Swiss Conference
128,SWSC,Swiss Union Conference
129,FNUC,Finland Union of Churches Conference
130,WNET,Gambella Field Station
130,WNET,Kellem Ethiopia Field
130,WNET,South West Ethiopia Field
130,WNET,West Central Ethiopia Field
130,WNET,West Ethiopia Conference
131,WIND,Gujarat Conference
131,WIND,Central Maharashtra Conference
131,WIND,Mumbai Metro Section
131,WIND,North Maharashtra Section
131,WIND,Saurashtra Region
131,WIND,South Maharashtra Section
131,WIND,South Gujarat Region
131,WIND,Vidarbha Region (Nagpur)
131,WIND,Western India Union Section
132,GUMM,Guam-Micronesia Mission
133,GUSS,Gulf Field
134,HKMC,Hong Kong-Macao Conference
135,LKUC,Illinois Conference
135,LKUC,Indiana Conference
135,LKUC,Lake Region Conference
135,LKUC,Lake Union Conference
135,LKUC,Michigan Conference
135,LKUC,Wisconsin Conference
136,IUOC,Italian Union of Churches Conference
137,KIEV,Kyiv Conference
138,NBUM,North Para Conference
138,NBUM,Maranhao Conference
138,NBUM,North Brazil Union Mission
138,NBUM,Northeast Maranhao Mission
138,NBUM,Para-Amapa Mission
138,NBUM,South Maranhao Conference
138,NBUM,South Para Conference
138,NBUM,West Para Mission
139,SEEUC,Macedonian Mission
139,SEEUC,North Conference
139,SEEUC,South Conference
139,SEEUC,Bosnia and Herzegovina Conference
139,SEEUC,South-East European Union Conference
140,MAGS,North Africa Region
141,NTAU,Mara Conference
141,NTAU,North-East Tanzania Conference
141,NTAU,Northern Tanzania Union Conference
141,NTAU,Nyanza Gold Belt Field
141,NTAU,South Nyanza Conference
141,NTAU,Tanzania Rift Valley Field
141,NTAU,Western Tanzania Conference
142,NSDAF,Mongolia Mission
143,MOUC,Moldova Union of Churches Conference
144,WRUC,Moscow Conference
144,WRUC,Northwestern Conference
144,WRUC,Ural Conference
144,WRUC,Volga Conference
144,WRUC,Volgo-Vyatskaya Conference
144,WRUC,Central Conference
144,WRUC,Southern Conference
144,WRUC,West Russian Union Conference
145,NONI,North Central Nigeria Conference
145,NONI,North East Nigeria Conference
145,NONI,Northern Nigeria Union Conference
145,NONI,North West Nigeria Conference
146,NPEU,East Central Peru Conference
146,NPEU,Northeast Peru Mission
146,NPEU,North Pacific Conference
146,NPEU,North Peru Union Mission
146,NPEU,North Peru Mission
146,NPEU,West Central Peru Mission
147,NEUC,Netherlands Union of Churches Conference
148,ZIME,North Zimbabwe Conference
148,ZIME,Zimbabwe East Union Conference
149,PARU,Paraguay Union of Churches Mission
150,PKUS,Northern Section
150,PKUS,Southern Section
150,PKUS,Pakistan Union Section
151,MALU,Peninsular Malaysia Mission
151,MALU,Sabah Mission
151,MALU,Sarawak Mission
